2026-07-11 08:26:22 +05 СООБЩЕНИЕ:  система БД была выключена: 2026-07-11 08:25:21 +05
2026-07-11 08:31:22 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-11 08:31:22 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 2; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.040 сек., всего=0.232 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.028 сек., средняя=0.014 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/1A7B1A80, lsn redo=0/1A7B1A28
2026-07-11 09:45:21 +05 ВАЖНО:  база данных "amazon_clone" не существует
2026-07-11 09:45:21 +05 ВАЖНО:  база данных "amazon_clone" не существует
2026-07-11 09:45:37 +05 СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2026-07-11 09:45:37 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%), записано SLRU-буферов: 0; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.045 сек., всего=0.177 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.045 сек., средняя=0.045 сек.; расстояние=10 КБ, ожидалось=10 КБ; lsn=0/1A7B4428, lsn redo=0/1A7B43D0
2026-07-11 09:50:37 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-11 09:52:30 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 994 (6.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=110.092 сек., синхр.=2.312 сек., всего=112.519 сек.; синхронизировано_файлов=362, самая_долгая_синхр.=0.059 сек., средняя=0.007 сек.; расстояние=4674 КБ, ожидалось=4674 КБ; lsn=0/1ACF70E0, lsn redo=0/1AC44D70
2026-07-11 09:55:37 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-11 09:55:52 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 129 (0.8%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=14.250 сек., синхр.=0.620 сек., всего=14.993 сек.; синхронизировано_файлов=65, самая_долгая_синхр.=0.043 сек., средняя=0.010 сек.; расстояние=714 КБ, ожидалось=4278 КБ; lsn=0/1ACF77E8, lsn redo=0/1ACF7758
2026-07-11 11:44:28 +05 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-07-11 11:44:28 +05 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
