2026-06-22 06:45:19 +05 ���������:  ������� �� ���� ���������: 2026-06-22 01:06:31 +05
2026-06-22 21:57:34 +05 ОПЕРАТОР:  INSERT INTO "catalog_product" ("created_at", "updated_at", "uuid", "name", "slug", "description", "search_vector", "meta_title", "meta_description", "manufacturer_code", "status", "is_featured", "published_at", "brand_id", "primary_category_id", "main_image_id", "min_price", "max_price", "rating", "reviews_count", "views_count") VALUES ('2026-06-22 16:57:34.790527+00:00'::timestamptz, '2026-06-22 16:57:34.790532+00:00'::timestamptz, 'bd7d572ef7a4410f947032adaf24a337'::uuid, 'Test Product', 'test-product', '', NULL, '', '', '', 'active', false, '2026-06-22 16:57:34.790451+00:00'::timestamptz, 14, 52, NULL, 500.00, 100.00, 0.00, 0, 0) RETURNING "catalog_product"."id"
2026-06-22 21:57:34 +05 ОШИБКА:  новая строка в отношении "catalog_product" нарушает ограничение-проверку "product_rating_range"
2026-06-22 21:57:34 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (25, 2026-06-22 16:57:34.805293+00, 2026-06-22 16:57:34.805298+00, 2bf8f62c-eefd-4b9b-b8b7-ecea463f2153, Test Product, test-product, , null, , , , active, f, 2026-06-22 16:57:34.805216+00, null, null, -0.01, 0, 0, 14, 52, null).
2026-06-22 21:57:34 +05 ОПЕРАТОР:  INSERT INTO "catalog_product" ("created_at", "updated_at", "uuid", "name", "slug", "description", "search_vector", "meta_title", "meta_description", "manufacturer_code", "status", "is_featured", "published_at", "brand_id", "primary_category_id", "main_image_id", "min_price", "max_price", "rating", "reviews_count", "views_count") VALUES ('2026-06-22 16:57:34.805293+00:00'::timestamptz, '2026-06-22 16:57:34.805298+00:00'::timestamptz, '2bf8f62ceefd4b9bb8b7ecea463f2153'::uuid, 'Test Product', 'test-product', '', NULL, '', '', '', 'active', false, '2026-06-22 16:57:34.805216+00:00'::timestamptz, 14, 52, NULL, NULL, NULL,  -0.01, 0, 0) RETURNING "catalog_product"."id"
2026-06-22 21:57:34 +05 ОШИБКА:  новая строка в отношении "catalog_product" нарушает ограничение-проверку "product_rating_range"
2026-06-22 21:57:34 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (26, 2026-06-22 16:57:34.806623+00, 2026-06-22 16:57:34.806628+00, ac10f82f-bee1-49b1-8fdf-43acd96be915, Test Product, test-product, , null, , , , active, f, 2026-06-22 16:57:34.806547+00, null, null, 5.01, 0, 0, 14, 52, null).
2026-06-22 21:57:34 +05 ОПЕРАТОР:  INSERT INTO "catalog_product" ("created_at", "updated_at", "uuid", "name", "slug", "description", "search_vector", "meta_title", "meta_description", "manufacturer_code", "status", "is_featured", "published_at", "brand_id", "primary_category_id", "main_image_id", "min_price", "max_price", "rating", "reviews_count", "views_count") VALUES ('2026-06-22 16:57:34.806623+00:00'::timestamptz, '2026-06-22 16:57:34.806628+00:00'::timestamptz, 'ac10f82fbee149b18fdf43acd96be915'::uuid, 'Test Product', 'test-product', '', NULL, '', '', '', 'active', false, '2026-06-22 16:57:34.806547+00:00'::timestamptz, 14, 52, NULL, NULL, NULL, 5.01, 0, 0) RETURNING "catalog_product"."id"
2026-06-22 21:57:34 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "catalog_tag_name_key"
2026-06-22 21:57:34 +05 ПОДРОБНОСТИ:  Ключ "(name)=(новинка)" уже существует.
2026-06-22 21:57:34 +05 ОПЕРАТОР:  INSERT INTO "catalog_tag" ("created_at", "updated_at", "name", "slug", "is_active") VALUES ('2026-06-22 16:57:34.892696+00:00'::timestamptz, '2026-06-22 16:57:34.892701+00:00'::timestamptz, 'новинка', 'item-2', true) RETURNING "catalog_tag"."id"
2026-06-22 21:57:35 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:35 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 1 AND "cart_cartitem"."variant_id" = 22) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:35 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:35 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 3 AND "cart_cartitem"."variant_id" = 22) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:35 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:35 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 4 AND "cart_cartitem"."variant_id" = 22) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:35 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:35 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 5 AND "cart_cartitem"."variant_id" = 22) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:36 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:36 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 8 AND "cart_cartitem"."variant_id" = 26) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:37 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:37 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 21 AND "cart_cartitem"."variant_id" = 34) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:39 +05 ОШИБКА:  новая строка в отношении "cart_cartitem" нарушает ограничение-проверку "cartitem_quantity_range"
2026-06-22 21:57:39 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (25, 2026-06-22 16:57:39.630005+00, 2026-06-22 16:57:39.63001+00, 0, 38, 43).
2026-06-22 21:57:39 +05 ОПЕРАТОР:  INSERT INTO "cart_cartitem" ("created_at", "updated_at", "cart_id", "variant_id", "quantity") VALUES ('2026-06-22 16:57:39.630005+00:00'::timestamptz, '2026-06-22 16:57:39.630010+00:00'::timestamptz, 38, 43, 0) RETURNING "cart_cartitem"."id"
2026-06-22 21:57:39 +05 ОШИБКА:  новая строка в отношении "cart_cartitem" нарушает ограничение-проверку "cartitem_quantity_range"
2026-06-22 21:57:39 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (26, 2026-06-22 16:57:39.631977+00, 2026-06-22 16:57:39.631983+00, 1000, 39, 43).
2026-06-22 21:57:39 +05 ОПЕРАТОР:  INSERT INTO "cart_cartitem" ("created_at", "updated_at", "cart_id", "variant_id", "quantity") VALUES ('2026-06-22 16:57:39.631977+00:00'::timestamptz, '2026-06-22 16:57:39.631983+00:00'::timestamptz, 39, 43, 1000) RETURNING "cart_cartitem"."id"
2026-06-22 21:57:39 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "unique_cart_variant"
2026-06-22 21:57:39 +05 ПОДРОБНОСТИ:  Ключ "(cart_id, variant_id)=(45, 43)" уже существует.
2026-06-22 21:57:39 +05 ОПЕРАТОР:  INSERT INTO "cart_cartitem" ("created_at", "updated_at", "cart_id", "variant_id", "quantity") VALUES ('2026-06-22 16:57:39.640768+00:00'::timestamptz, '2026-06-22 16:57:39.640772+00:00'::timestamptz, 45, 43, 2) RETURNING "cart_cartitem"."id"
2026-06-22 21:57:40 +05 ОШИБКА:  новая строка в отношении "cart_cart" нарушает ограничение-проверку "cart_owner_required"
2026-06-22 21:57:40 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (53, 2026-06-22 16:57:40.010357+00, 2026-06-22 16:57:40.010363+00, null, t, null).
2026-06-22 21:57:40 +05 ОПЕРАТОР:  INSERT INTO "cart_cart" ("created_at", "updated_at", "user_id", "session_key_hash", "is_active") VALUES ('2026-06-22 16:57:40.010357+00:00'::timestamptz, '2026-06-22 16:57:40.010363+00:00'::timestamptz, NULL, NULL, true) RETURNING "cart_cart"."id"
2026-06-22 21:57:40 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "unique_active_user_cart"
2026-06-22 21:57:40 +05 ПОДРОБНОСТИ:  Ключ "(user_id)=(23)" уже существует.
2026-06-22 21:57:40 +05 ОПЕРАТОР:  INSERT INTO "cart_cart" ("created_at", "updated_at", "user_id", "session_key_hash", "is_active") VALUES ('2026-06-22 16:57:40.014942+00:00'::timestamptz, '2026-06-22 16:57:40.014948+00:00'::timestamptz, 23, NULL, true) RETURNING "cart_cart"."id"
2026-06-22 21:57:40 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:40 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 77 AND "cart_cartitem"."variant_id" = 52) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:40 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:40 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 78 AND "cart_cartitem"."variant_id" = 52) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:40 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:40 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 81 AND "cart_cartitem"."variant_id" = 57) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:40 +05 ОШИБКА:  FOR UPDATE не может применяться к NULL-содержащей стороне внешнего соединения
2026-06-22 21:57:40 +05 ОПЕРАТОР:  SELECT "cart_cartitem"."id", "cart_cartitem"."created_at", "cart_cartitem"."updated_at", "cart_cartitem"."cart_id", "cart_cartitem"."variant_id", "cart_cartitem"."quantity", "catalog_productvariant"."id", "catalog_productvariant"."created_at", "catalog_productvariant"."updated_at", "catalog_productvariant"."product_id", "catalog_productvariant"."sku", "catalog_productvariant"."barcode", "catalog_productvariant"."is_active", "catalog_productvariant"."length", "catalog_productvariant"."width", "catalog_productvariant"."height", "catalog_productvariant"."weight", "catalog_productvariant"."slug", "inventory_stock"."id", "inventory_stock"."created_at", "inventory_stock"."updated_at", "inventory_stock"."variant_id", "inventory_stock"."quantity", "inventory_stock"."reserved_quantity", "inventory_stock"."low_stock_threshold" FROM "cart_cartitem" INNER JOIN "catalog_productvariant" ON ("cart_cartitem"."variant_id" = "catalog_productvariant"."id") LEFT OUTER JOIN "inventory_stock" ON ("catalog_productvariant"."id" = "inventory_stock"."variant_id") WHERE ("cart_cartitem"."cart_id" = 86 AND "cart_cartitem"."variant_id" = 52) ORDER BY "cart_cartitem"."created_at" DESC LIMIT 1 FOR UPDATE
2026-06-22 21:57:56 +05 ОШИБКА:  новая строка в отношении "users_address" нарушает ограничение-проверку "address_recipient_name_required"
2026-06-22 21:57:56 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (43, 2026-06-22 16:57:56.676928+00, 2026-06-22 16:57:56.676933+00, , Россия, , Москва, ул. Пустая, 1, , , f, 63).
2026-06-22 21:57:56 +05 ОПЕРАТОР:  INSERT INTO "users_address" ("created_at", "updated_at", "user_id", "recipient_name", "country", "region", "city", "street", "postal_code", "notes", "is_default") VALUES ('2026-06-22 16:57:56.676928+00:00'::timestamptz, '2026-06-22 16:57:56.676933+00:00'::timestamptz, 63, '', 'Россия', '', 'Москва', 'ул. Пустая, 1', '', '', false) RETURNING "users_address"."id"
2026-06-22 21:57:57 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "users_user_email_key"
2026-06-22 21:57:57 +05 ПОДРОБНОСТИ:  Ключ "(email)=(test@example.com)" уже существует.
2026-06-22 21:57:57 +05 ОПЕРАТОР:  INSERT INTO "users_user" ("password", "last_login", "is_superuser", "username", "first_name", "last_name", "is_staff", "is_active", "date_joined", "phone", "email") VALUES ('pbkdf2_sha256$1200000$0DWhe1p8H98laCUAuybbMg$gnnFx131V85QjDGAYDHrlphJUmCZI4vtVGmA94X22oY=', NULL, false, 'duplicate', '', '', false, true, '2026-06-22 16:57:57.367293+00:00'::timestamptz, '', 'test@example.com') RETURNING "users_user"."id"
2026-06-22 21:57:58 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "users_user_username_key"
2026-06-22 21:57:58 +05 ПОДРОБНОСТИ:  Ключ "(username)=(testuser)" уже существует.
2026-06-22 21:57:58 +05 ОПЕРАТОР:  INSERT INTO "users_user" ("password", "last_login", "is_superuser", "username", "first_name", "last_name", "is_staff", "is_active", "date_joined", "phone", "email") VALUES ('pbkdf2_sha256$1200000$i2Iedftmja37Qt4nJqHR78$lKmNewbFlCX5VVWlddIsCeOG+n2wTETSHwqqUOuaDgo=', NULL, false, 'testuser', '', '', false, true, '2026-06-22 16:57:58.358905+00:00'::timestamptz, '', 'other@example.com') RETURNING "users_user"."id"
2026-06-22 21:57:59 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "users_profile_user_id_key"
2026-06-22 21:57:59 +05 ПОДРОБНОСТИ:  Ключ "(user_id)=(69)" уже существует.
2026-06-22 21:57:59 +05 ОПЕРАТОР:  INSERT INTO "users_profile" ("created_at", "updated_at", "user_id", "avatar", "date_of_birth", "gender", "timezone", "language", "email_subscribed") VALUES ('2026-06-22 16:57:59.040607+00:00'::timestamptz, '2026-06-22 16:57:59.040613+00:00'::timestamptz, 69, '', NULL, '', 'UTC', 'ru', false) RETURNING "users_profile"."id"
2026-06-22 21:58:08 +05 ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "pricing_price_variant_id_key"
2026-06-22 21:58:08 +05 ПОДРОБНОСТИ:  Ключ "(variant_id)=(89)" уже существует.
2026-06-22 21:58:08 +05 ОПЕРАТОР:  INSERT INTO "pricing_price" ("created_at", "updated_at", "variant_id", "price", "sale_price", "currency") VALUES ('2026-06-22 16:58:08.157634+00:00'::timestamptz, '2026-06-22 16:58:08.157641+00:00'::timestamptz, 89, 200.00, NULL, 'RUB') RETURNING "pricing_price"."id"
2026-06-22 21:58:08 +05 ОШИБКА:  новая строка в отношении "pricing_price" нарушает ограничение-проверку "price_gt_zero"
2026-06-22 21:58:08 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (15, 2026-06-22 16:58:08.159899+00, 2026-06-22 16:58:08.159904+00, 0.00, null, RUB, 89).
2026-06-22 21:58:08 +05 ОПЕРАТОР:  INSERT INTO "pricing_price" ("created_at", "updated_at", "variant_id", "price", "sale_price", "currency") VALUES ('2026-06-22 16:58:08.159899+00:00'::timestamptz, '2026-06-22 16:58:08.159904+00:00'::timestamptz, 89, 0.00, NULL, 'RUB') RETURNING "pricing_price"."id"
2026-06-22 21:58:08 +05 ОШИБКА:  новая строка в отношении "pricing_price" нарушает ограничение-проверку "sale_price_lte_price"
2026-06-22 21:58:08 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (16, 2026-06-22 16:58:08.160683+00, 2026-06-22 16:58:08.160688+00, 50.00, 60.00, RUB, 89).
2026-06-22 21:58:08 +05 ОПЕРАТОР:  INSERT INTO "pricing_price" ("created_at", "updated_at", "variant_id", "price", "sale_price", "currency") VALUES ('2026-06-22 16:58:08.160683+00:00'::timestamptz, '2026-06-22 16:58:08.160688+00:00'::timestamptz, 89, 50.00, 60.00, 'RUB') RETURNING "pricing_price"."id"
2026-06-22 21:58:11 +05 ОШИБКА:  новая строка в отношении "orders_orderitem" нарушает ограничение-проверку "orderitem_quantity_range"
2026-06-22 21:58:11 +05 ПОДРОБНОСТИ:  Ошибочная строка содержит (2, 2026-06-22 16:58:11.02969+00, 2026-06-22 16:58:11.029694+00, Тестовый товар, TEST-SKU-14-0, 1000.00, 0, 14, null).
2026-06-22 21:58:11 +05 ОПЕРАТОР:  INSERT INTO "orders_orderitem" ("created_at", "updated_at", "order_id", "variant_id", "product_name", "sku", "unit_price", "quantity") VALUES ('2026-06-22 16:58:11.029690+00:00'::timestamptz, '2026-06-22 16:58:11.029694+00:00'::timestamptz, 14, NULL, 'Тестовый товар', 'TEST-SKU-14-0', 1000.00, 0) RETURNING "orders_orderitem"."id"
2026-06-22 21:58:11 +05 ОШИБКА:  новая строка в отношении "orders_orderitem" нарушает ограничение-проверку "orderitem_quantity_range"
