2026-07-13 08:05:54 +05 СООБЩЕНИЕ:  система БД была выключена: 2026-07-13 00:53:28 +05
2026-07-13 08:10:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:10:54 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 2; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.039 сек., всего=0.160 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.028 сек., средняя=0.013 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/1ADB0098, lsn redo=0/1ADB0040
2026-07-13 08:25:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:25:55 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%), записано SLRU-буферов: 0; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.035 сек., всего=0.332 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.035 сек., средняя=0.035 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/1ADB0320, lsn redo=0/1ADB02C8
2026-07-13 08:30:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:30:56 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.764 сек., синхр.=0.948 сек., всего=2.832 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.069 сек., средняя=0.056 сек.; расстояние=7 КБ, ожидалось=7 КБ; lsn=0/1ADB1F48, lsn redo=0/1ADB1EF0
2026-07-13 08:35:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:35:57 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.774 сек., синхр.=0.495 сек., всего=2.399 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.068 сек., средняя=0.030 сек.; расстояние=6 КБ, ожидалось=6 КБ; lsn=0/1ADB3818, lsn redo=0/1ADB3788
2026-07-13 08:40:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:40:55 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.878 сек., синхр.=0.459 сек., всего=1.466 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.067 сек., средняя=0.051 сек.; расстояние=4 КБ, ожидалось=6 КБ; lsn=0/1ADB4A18, lsn redo=0/1ADB49C0
2026-07-13 08:50:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-13 08:51:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 103 (0.6%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=11.412 сек., синхр.=0.674 сек., всего=12.239 сек.; синхронизировано_файлов=91, самая_долгая_синхр.=0.042 сек., средняя=0.008 сек.; расстояние=260 КБ, ожидалось=260 КБ; lsn=0/1ADFE050, lsn redo=0/1ADF5B50
2026-07-13 09:15:54 +05 СООБЩЕНИЕ:  начата контрольная точка: time
